id,stockId,stockName,stockClass,startDate
795,6230,尼得科超眾,電腦及週邊設備業,2010/09/16
796,6235,華孚,電腦及週邊設備業,2004/08/23
797,6239,力成,半導體業,2004/11/08
798,6243,迅杰,半導體業,2009/12/17
799,6257,矽格,半導體業,2003/08/25
800,6269,台郡,電子零組件業,2003/09/23
801,6271,同欣電,半導體業,2007/11/16
802,6277,宏正,電腦及週邊設備業,2003/10/30
803,6278,台表科,光電業,2010/08/24
804,6281,全國電,電子通路業,2005/12/08
805,6282,康舒,電子零組件業,2003/09/08
806,6283,淳安,其他電子業,2008/01/21
807,6285,啟碁,通信網路業,2003/09/22
808,6288,聯嘉,汽車工業,2018/05/09
809,6405,悅城,光電業,2013/11/28
810,6409,旭隼,其他電子業,2014/03/31
811,6412,群電,電子零組件業,2013/11/08
812,6414,樺漢,電腦及週邊設備業,2014/03/28
813,6415,矽力*-KY,半導體業,2013/12/12
814,6416,瑞祺電通,通信網路業,2018/04/16
815,6426,統新,通信網路業,2021/03/24
816,6431,光麗-KY,生技醫療業,2014/12/04
817,6438,迅得,其他電子業,2021/01/19
818,6442,光聖,通信網路業,2015/07/14
819,6443,元晶,光電業,2015/10/01
820,6449,鈺邦,電子零組件業,2014/12/09
821,6451,訊芯-KY,半導體業,2015/01/26
822,6456,GIS-KY,光電業,2015/06/12
823,6464,台數科,其他業,2015/12/16
824,6477,安集,光電業,2016/06/21
825,6491,晶碩,生技醫療業,2019/10/07
826,6504,南六,其他業,2013/05/07
827,6505,台塑化,油電燃氣業,2003/12/26
828,6515,穎崴,半導體業,2021/01/20
829,6525,捷敏-KY,半導體業,2016/04/12
830,6531,愛普*,半導體業,2016/05/31
831,6533,晶心科,半導體業,2017/03/14
832,6541,泰福-KY,生技醫療業,2017/10/26
833,6550,北極星藥業-KY,生技醫療業,2022/06/06
834,6552,易華電,半導體業,2017/01/10
835,6558,興能高,其他電子業,2018/12/05
836,6573,虹揚-KY,半導體業,2017/09/26
837,6579,研揚,電腦及週邊設備業,2017/08/21
838,6581,鋼聯,其他業,2018/01/30
839,6582,申豐,橡膠工業,2017/06/14
840,6585,鼎基,其他業,2022/05/20
841,6591,動力-KY,電腦及週邊設備業,2017/12/28
842,6592,和潤企業,其他業,2019/12/09
843,6598,ABC-KY,生技醫療業,2020/06/09
844,6605,帝寶,汽車工業,2004/03/17
845,6625,必應,其他業,2018/02/07
846,6641,基士德-KY,其他業,2018/09/21
847,6655,科定,其他業,2018/11/28
848,6666,羅麗芬-KY,生技醫療業,2018/11/19
849,6668,中揚光,光電業,2018/12/12
850,6669,緯穎,電腦及週邊設備業,2019/03/27
851,6670,復盛應用,其他業,2018/12/18
852,6671,三能-KY,其他業,2018/12/11
853,6672,騰輝電子-KY,電子零組件業,2019/04/17
854,6674,鋐寶科技,通信網路業,2018/11/28
855,6689,伊雲谷,其他電子業,2022/09/13
856,6691,洋基工程,其他電子業,2022/01/03
857,6695,芯鼎,半導體業,2022/11/04
858,6698,旭暉應材,其他電子業,2019/11/25
859,6706,惠特,光電業,2019/12/19
860,6715,嘉基,電子零組件業,2019/12/12
861,6719,力智,半導體業,2022/01/13
862,6743,安普新,其他電子業,2020/12/14
863,6754,匯僑設計,其他業,2020/08/25
864,6756,威鋒電子,半導體業,2020/12/24
865,6768,志強-KY,其他業,2021/04/22
866,6770,力積電,半導體業,2021/12/06
867,6776,展碁國際,電子通路業,2021/03/31
868,6781,AES-KY,電子零組件業,2021/03/22
869,6782,視陽,生技醫療業,2022/11/28
870,6789,采鈺,半導體業,2022/06/30
871,6790,永豐實,造紙工業,2021/09/29
872,6792,詠業,通信網路業,2021/12/08
873,6796,晉弘,生技醫療業,2022/06/01
874,6799,來頡,半導體業,2022/05/12
875,6806,森崴能源,其他業,2021/11/15
876,6807,峰源-KY,其他業,2022/04/25
877,6830,汎銓,其他電子業,2022/08/31
878,6834,天二科技,電子零組件業,2022/09/01
879,6835,圓裕,電子零組件業,2022/11/10
880,8011,台通,通信網路業,2011/09/19
881,8016,矽創,半導體業,2003/12/25
882,8021,尖點,其他電子業,2008/01/21
883,8028,昇陽半導體,半導體業,2018/07/10
884,8033,雷虎,其他業,2007/06/21
885,8039,台虹,電子零組件業,2009/12/17
886,8046,南電,電子零組件業,2006/04/07
887,8070,長華*,電子通路業,2007/12/31
888,8072,陞泰,電子通路業,2005/08/19
889,8081,致新,半導體業,2008/12/30
890,8101,華冠,通信網路業,2004/07/01
891,8103,瀚荃,電子零組件業,2009/09/29
892,8104,錸寶,光電業,2019/01/17
893,8105,凌巨,光電業,2006/12/27
894,8110,華東,半導體業,2007/10/31
895,8112,至上,電子通路業,2007/12/31
896,8114,振樺電,電腦及週邊設備業,2012/11/26
897,8131,福懋科,半導體業,2007/11/29
898,8150,南茂,半導體業,2014/04/11
899,8163,達方,電腦及週邊設備業,2007/11/28
900,8201,無敵,其他電子業,2007/10/29
901,8210,勤誠,電腦及週邊設備業,2011/12/01
902,8213,志超,電子零組件業,2009/12/25
903,8215,明基材,光電業,2010/11/12
904,8222,寶一,電機機械,2015/01/27
905,8249,菱光,電子零組件業,2005/05/17
906,8261,富鼎,半導體業,2009/12/11
907,8271,宇瞻,半導體業,2010/12/29
908,8341,日友,其他業,2015/03/23
909,8367,建新國際,航運業,2018/09/12
910,8374,羅昇,電機機械,2008/12/25
911,8404,百和興業-KY,其他業,2011/05/18
912,8411,福貞-KY,其他業,2011/11/01
913,8422,可寧衛,其他業,2011/10/05
914,8429,金麗-KY,貿易百貨業,2012/12/20
915,8438,昶昕,其他業,2022/03/11
916,8442,威宏-KY,其他業,2016/11/08
917,8443,阿瘦,貿易百貨業,2014/09/15
918,8454,富邦媒,貿易百貨業,2014/12/19
